cms_txn_sk,sales_cust_id,sales_tran_id,sales_order_id,sales_item_quantity,sales_order_dt,cms_store_sk,sales_store_id,sales_store_name,sales_channel,sales_region_name,cms_product_sk,sales_product_id,sales_product_name,sales_product_desc,sales_prd_style_id,sales_prd_style_name,sales_prd_style_desc,sales_prd_color_id,sales_prd_color_shade_name,sales_prd_size_id,sales_prd_size_name,sales_prd_fit,sales_prd_category_id,sales_prd_category_name,sales_prd_brand_id,sales_prd_brand_name,sales_csat,sales_sell_price,sales_discount_amt,promoter,detractor,passive,sales_launch_date,premium_prd,ship_mode,payment_preference,insert_dt,last_modified_dt,insert_by,last_modified_by,job_id,batch_id
5062,CS-11950,txn5059,CA-2017-120796,10,2020-01-04,278,Store_012,Store012,Delivery,East,817,OFF-BI-10004330,"GBC Velobind Prepunched Cover Sets, Regency Series",null,3,Party,null,2,Dark,2,Xtra Small,Relaxed,CAT002,Office Supplies,null,Murphy,9,99.846,4.877217594,1,0,0,2019-10-12,N,Second Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5063,TP-21130,txn5060,CA-2017-109722,2,2020-01-04,null,0,null,Delivery,null,1691,TEC-PH-10000560,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),null,3,Party,null,4,Light,2,Medium,Regular,CAT003,Technology,null,Redash,10,699.98,70.03363364,1,0,0,2019-10-14,N,Standard Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5064,TP-21130,txn5061,CA-2017-109722,3,2020-01-04,null,0,null,Delivery,null,1289,OFF-ST-10000060,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,null,1,Casual,null,1,Light,1,Extra Large,Slim,CAT002,Office Supplies,null,Murphy,10,584.82,101.5887585,1,0,0,2019-10-04,N,Standard Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5065,DL-12925,txn5062,CA-2016-136798,8,2020-01-04,303,Store_040,Store040,Delivery,Central,783,OFF-BI-10003684,Wilson Jones Legal Size Ring Binders,null,1,Party,null,3,Bright,2,Xtra Small,Tapered,CAT002,Office Supplies,null,Bounce,8,43.98,7.762777353,0,0,1,2019-10-10,N,Standard Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5066,DL-12925,txn5063,CA-2016-136798,8,2020-01-04,303,Store_040,Store040,Delivery,Central,1687,TEC-PH-10000441,VTech DS6151,null,2,Party,null,2,Dark,1,Medium,Tapered,CAT003,Technology,null,Beautify,9,377.97,2.552593498,1,0,0,2019-11-23,N,Standard Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5067,DL-12925,txn5064,CA-2016-136798,8,2020-01-04,303,Store_040,Store040,Delivery,Central,162,FUR-FU-10000723,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",null,4,Casual,null,4,Light,1,Medium,Relaxed,CAT001,Furniture,null,Bounce,3,123.96,0.16557609,0,1,0,2019-10-29,N,Standard Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5068,CA-12265,txn5065,CA-2018-122196,1,2020-01-04,142,Store_050,Store050,Delivery,East,1852,TEC-PH-10004977,GE 30524EE4,null,3,Casual,null,3,Other,1,Xtra Small,Slim,CAT003,Technology,null,Aerodyne,9,391.98,18.61608028,1,0,0,2019-11-17,N,Second Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5069,SC-20380,txn5066,CA-2018-142090,10,2020-01-03,190,Store_180,Store180,Delivery,South,1510,TEC-AC-10002001,Logitech Wireless Gaming Headset G930,null,2,Formal,null,2,Bright,1,Large,Tapered,CAT003,Technology,null,Redash,10,383.976,55.54661252,1,0,0,2019-10-19,N,Second Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5070,SC-20380,txn5067,CA-2018-142090,6,2020-01-03,190,Store_180,Store180,Delivery,South,336,FUR-TA-10001889,Bush Advantage Collection Racetrack Conference Table,null,3,Formal,null,4,Other,3,Small,Tapered,CAT001,Furniture,null,Aerospace,8,1781.682,372.4358042,0,0,1,2019-10-29,N,Second Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5071,TT-21460,txn5068,CA-2018-160934,5,2020-01-03,285,Store_142,Store142,Curbside,West,583,OFF-AR-10003504,Newell 347,null,2,Casual,null,2,Light,2,Small,Slim,CAT002,Office Supplies,null,Beautify,10,21.4,5.011623431,1,0,0,2019-11-21,N,Same Day,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5072,MA-17560,txn5069,CA-2015-124478,5,2020-01-03,367,Store_191,Store191,Curbside,Central,1600,TEC-CO-10001571,Sharp 1540cs Digital Laser Copier,null,2,Hip-Hop,null,2,Bright,3,Small,Relaxed,CAT003,Technology,null,Beautify,8,549.99,61.19893272,0,0,1,2019-12-20,N,Second Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5073,MA-17560,txn5070,CA-2015-124478,10,2020-01-03,367,Store_191,Store191,Curbside,Central,427,OFF-AP-10002495,"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",null,2,Formal,null,5,Light,3,Extra Large,Relaxed,CAT002,Office Supplies,null,Trust Nom,5,167.535,32.97533618,0,1,0,2020-01-03,N,Standard Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5074,MA-17560,txn5071,CA-2015-124478,7,2020-01-03,367,Store_191,Store191,Curbside,Central,866,OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,null,2,Party,null,4,Other,1,Medium,Slim,CAT002,Office Supplies,null,Bounce,9,38.34,5.834632032,1,0,0,2019-11-02,N,First Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5075,MA-17560,txn5072,CA-2015-124478,7,2020-01-03,367,Store_191,Store191,Curbside,Central,210,FUR-FU-10002088,Nu-Dell Float Frame 11 x 14 1/2,null,1,Formal,null,2,Bright,3,Small,Slim,CAT001,Furniture,null,Bounce,4,53.88,10.29993942,0,1,0,2019-12-15,N,Second Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5076,MA-17560,txn5073,CA-2015-124478,2,2020-01-03,367,Store_191,Store191,Curbside,Central,1706,TEC-PH-10001128,Motorola Droid Maxx,null,1,Party,null,3,Other,1,Small,Tapered,CAT003,Technology,null,Bounce,5,299.98,37.61032452,0,1,0,2019-11-16,N,First Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5077,JM-16195,txn5074,CA-2016-145485,5,2020-01-03,181,Store_010,Store010,Delivery,West,1308,OFF-ST-10000649,Hanging Personal Folder File,null,1,Hip-Hop,null,5,Other,3,Medium,Regular,CAT002,Office Supplies,null,Trust Nom,9,62.8,6.900582371,1,0,0,2020-01-03,N,Same Day,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5078,MB-18085,txn5075,CA-2018-151071,7,2020-01-03,219,Store_014,Store014,Delivery,West,725,OFF-BI-10002103,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",null,4,Casual,null,5,Other,3,Small,Tapered,CAT002,Office Supplies,null,Bounce,9,13.904,1.245107801,1,0,0,2019-10-05,N,Standard Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5079,SV-20365,txn5076,CA-2015-134572,3,2020-01-03,295,Store_033,Store033,Delivery,Central,331,FUR-TA-10001705,Bush Advantage Collection Round Conference Table,null,2,Casual,null,1,Other,2,Xtra Small,Regular,CAT001,Furniture,null,Bostel,9,744.1,150.7852345,1,0,0,2019-11-30,N,Standard Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5080,SV-20365,txn5077,CA-2015-134572,4,2020-01-03,295,Store_033,Store033,Delivery,Central,1410,OFF-ST-10004634,"Personal Folder Holder, Ebony",null,3,Casual,null,5,Light,2,Large,Slim,CAT002,Office Supplies,null,Bounce,9,44.84,9.77461546,1,0,0,2019-10-26,N,Second Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5081,SV-20365,txn5078,CA-2015-134572,9,2020-01-03,295,Store_033,Store033,Delivery,Central,368,FUR-TA-10004442,Riverside Furniture Stanwyck Manor Table Series,null,1,Casual,null,4,Light,1,Small,Relaxed,CAT001,Furniture,null,Fostor,0,401.59,0.273744482,0,1,0,2019-11-18,N,First Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5082,CG-12040,txn5079,CA-2018-143217,8,2020-01-03,49,Store_202,Store202,Curbside,Central,756,OFF-BI-10002949,Prestige Round Ring Binders,null,4,Hip-Hop,null,3,Dark,3,Xtra Small,Relaxed,CAT002,Office Supplies,null,Beautify,9,18.24,3.853378085,1,0,0,2019-10-13,N,Standard Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5083,BD-11500,txn5080,US-2018-133312,10,2020-01-03,19,Store_035,Store035,Delivery,West,19,FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,null,2,Party,null,2,Bright,1,Large,Slim,CAT001,Furniture,null,Trust Nom,9,359.499,37.94088506,1,0,0,2019-10-13,N,Standard Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5084,BD-11500,txn5081,US-2018-133312,9,2020-01-02,19,Store_035,Store035,Delivery,West,1332,OFF-ST-10001325,Sterilite Officeware Hinged File Box,null,1,Formal,null,2,Light,2,Extra Large,Regular,CAT002,Office Supplies,null,Bounce,8,10.48,0.6993627,0,0,1,2019-10-26,N,Second Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5085,JK-15640,txn5082,US-2016-137533,1,2020-01-02,238,Store_178,Store178,Curbside,East,1215,OFF-PA-10003441,Xerox 226,null,2,Hip-Hop,null,2,Light,2,Large,Relaxed,CAT002,Office Supplies,null,Renow,9,20.736,4.337914001,1,0,0,2019-10-12,N,First Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5086,JM-15580,txn5083,CA-2017-155138,4,2020-01-02,75,Store_234,Store234,Delivery,South,1572,TEC-AC-10004209,Memorex Froggy Flash Drive 4 GB,null,3,Formal,null,1,Dark,1,Extra Large,Relaxed,CAT003,Technology,null,Canany,10,35.168,2.541689385,1,0,0,2019-10-05,N,Same Day,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5087,JM-15580,txn5084,CA-2017-155138,1,2020-01-02,75,Store_234,Store234,Delivery,South,1049,OFF-PA-10000501,Petty Cash Envelope,null,3,Hip-Hop,null,1,Bright,2,Large,Regular,CAT002,Office Supplies,null,Aerodyne,9,64.704,11.28307614,1,0,0,2020-01-02,N,Second Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5088,SC-20230,txn5085,CA-2017-108350,3,2020-01-02,276,Store_112,Store112,Online,East,1222,OFF-PA-10003656,Xerox 1935,null,4,Formal,null,1,Light,2,Medium,Relaxed,CAT002,Office Supplies,null,Canany,9,105.52,25.43180798,1,0,0,2020-01-02,N,First Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5089,ME-17320,txn5086,CA-2016-144302,10,2020-01-02,359,Store_177,Store177,Curbside,Central,679,OFF-BI-10001107,"GBC White Gloss Covers, Plain Front",null,4,Party,null,4,Bright,2,Xtra Small,Slim,CAT002,Office Supplies,null,Beautify,10,5.792,0.813967346,1,0,0,2020-01-02,N,Same Day,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5090,KN-16390,txn5087,CA-2016-109001,2,2020-01-01,346,Store_075,Store075,Online,East,1692,TEC-PH-10000562,Samsung Convoy 3,null,1,Party,null,5,Bright,1,Small,Tapered,CAT003,Technology,null,Redash,10,466.158,43.99649967,1,0,0,2019-10-12,N,Same Day,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5091,KN-16390,txn5088,CA-2016-109001,3,2020-01-01,346,Store_075,Store075,Online,East,1482,TEC-AC-10001101,Sony 16GB Class 10 Micro SDHC R40 Memory Card,null,1,Formal,null,2,Light,1,Medium,Regular,CAT003,Technology,null,Aerodyne,10,10.312,2.260993982,1,0,0,2020-01-01,N,Second Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5092,KN-16390,txn5089,CA-2016-109001,6,2019-12-31,346,Store_075,Store075,Online,East,776,OFF-BI-10003529,Avery Round Ring Poly Binders,null,2,Formal,null,5,Dark,2,Small,Relaxed,CAT002,Office Supplies,null,Bounce,10,2.556,0.048088829,1,0,0,2019-11-16,N,Standard Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5093,HM-14860,txn5090,CA-2018-132738,9,2019-12-31,null,0,null,Online,null,1120,OFF-PA-10001752,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),null,3,Casual,null,2,Light,3,Large,Tapered,CAT002,Office Supplies,null,Fostor,6,7.968,0.950420883,0,1,0,2019-12-01,N,Same Day,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5094,HM-14860,txn5091,CA-2018-132738,6,2019-12-31,null,0,null,Online,null,853,OFF-EN-10001141,"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9""",null,4,Casual,null,5,Light,3,Xtra Small,Regular,CAT002,Office Supplies,null,Fostor,9,8.784,1.880598084,1,0,0,2019-11-25,N,Second Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5095,JM-15580,txn5092,CA-2018-156720,1,2019-12-31,null,0,null,Delivery,null,932,OFF-FA-10003472,Bagged Rubber Bands,null,1,Party,null,3,Other,1,Medium,Regular,CAT002,Office Supplies,null,Murphy,9,3.024,0.642102165,1,0,0,2019-11-11,N,Second Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5096,KH-16690,txn5093,CA-2016-119102,9,2019-12-31,null,0,null,Online,null,1409,OFF-ST-10004507,Advantus Rolling Storage Box,null,2,Hip-Hop,null,2,Other,2,Xtra Small,Relaxed,CAT002,Office Supplies,null,Aerodyne,9,51.45,11.54873962,1,0,0,2019-11-10,N,Second Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5097,BK-11260,txn5094,US-2015-140452,3,2019-12-31,244,Store_027,Store027,Delivery,Central,457,OFF-AP-10004036,Bionaire 99.97% HEPA Air Cleaner,null,2,Formal,null,2,Bright,1,Xtra Small,Regular,CAT002,Office Supplies,null,Beautify,9,14.016,1.790641646,1,0,0,2019-11-24,N,Same Day,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5098,BK-11260,txn5095,US-2015-140452,2,2019-12-31,244,Store_027,Store027,Delivery,Central,361,FUR-TA-10004086,KI Adjustable-Height Table,null,2,Casual,null,1,Light,2,Small,Slim,CAT001,Furniture,null,Bounce,8,214.95,11.62080697,0,0,1,2019-11-08,N,Second Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5099,BK-11260,txn5096,US-2015-140452,4,2019-12-31,244,Store_027,Store027,Delivery,Central,1682,TEC-PH-10000307,Shocksock Galaxy S4 Armband,null,4,Hip-Hop,null,2,Bright,3,Xtra Small,Relaxed,CAT003,Technology,null,Bounce,8,35.04,0.098790126,0,0,1,2019-11-10,N,Same Day,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5100,BK-11260,txn5097,US-2015-140452,4,2019-12-31,244,Store_027,Store027,Delivery,Central,210,FUR-FU-10002088,Nu-Dell Float Frame 11 x 14 1/2,null,1,Formal,null,2,Bright,3,Small,Slim,CAT001,Furniture,null,Bounce,10,10.776,1.067239004,1,0,0,2019-12-15,N,First Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5101,BK-11260,txn5098,US-2015-140452,5,2019-12-31,244,Store_027,Store027,Delivery,Central,841,OFF-BI-10004965,Ibico Covers for Plastic or Wire Binding Elements,null,3,Hip-Hop,null,4,Bright,2,Small,Relaxed,CAT002,Office Supplies,null,Bounce,7,4.6,0.233032047,0,0,1,2019-10-20,N,Standard Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5102,BK-11260,txn5099,US-2015-140452,10,2019-12-31,244,Store_027,Store027,Delivery,Central,1367,OFF-ST-10002485,Rogers Deluxe File Chest,null,1,Party,null,2,Dark,3,Extra Large,Regular,CAT002,Office Supplies,null,Respont,8,35.168,0.291226374,0,0,1,2019-11-24,N,Standard Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5103,PN-18775,txn5100,CA-2016-141936,5,2019-12-31,null,0,null,Curbside,null,728,OFF-BI-10002194,Cardinal Hold-It CD Pocket,null,2,Casual,null,1,Bright,3,Small,Regular,CAT002,Office Supplies,null,Beautify,7,19.152,4.688092501,0,0,1,2019-10-12,N,Same Day,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5104,AZ-10750,txn5101,CA-2015-158442,2,2019-12-31,96,Store_163,Store163,Delivery,Central,593,OFF-AR-10003732,Newell 333,null,1,Hip-Hop,null,5,Dark,2,Medium,Tapered,CAT002,Office Supplies,null,Respont,9,4.448,0.206301988,1,0,0,2019-11-23,N,First Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5105,AZ-10750,txn5102,CA-2015-158442,8,2019-12-31,96,Store_163,Store163,Delivery,Central,1153,OFF-PA-10002195,"RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set",null,2,Party,null,3,Other,3,Extra Large,Relaxed,CAT002,Office Supplies,null,Bounce,9,5.184,1.125322763,1,0,0,2019-10-05,N,Standard Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5106,AZ-10750,txn5103,CA-2015-158442,6,2019-12-31,96,Store_163,Store163,Delivery,Central,1164,OFF-PA-10002365,Xerox 1967,null,1,Casual,null,3,Dark,2,Medium,Regular,CAT002,Office Supplies,null,Bounce,9,15.552,0.767492199,1,0,0,2019-12-31,N,Second Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5107,GM-14500,txn5104,CA-2016-167374,3,2019-12-31,278,Store_012,Store012,Delivery,East,1138,OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,null,2,Casual,null,5,Bright,1,Small,Regular,CAT002,Office Supplies,null,Trust Nom,9,40.032,4.111557223,1,0,0,2019-10-07,N,Second Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5108,GM-14500,txn5105,CA-2016-167374,2,2019-12-31,278,Store_012,Store012,Delivery,East,1583,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",null,3,Formal,null,3,Dark,1,Extra Large,Regular,CAT003,Technology,null,Beautify,10,16.776,0.194308431,1,0,0,2019-10-20,N,Standard Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5109,BM-11785,txn5106,CA-2015-116568,3,2019-12-31,101,Store_262,Store262,Delivery,South,92,FUR-CH-10002439,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",null,3,Formal,null,1,Other,3,Medium,Regular,CAT001,Furniture,null,Beautify,9,186.304,7.981272341,1,0,0,2019-11-09,N,Second Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5110,NH-18610,txn5107,CA-2016-147102,9,2019-12-30,353,Store_113,Store113,Online,South,1470,TEC-AC-10000682,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,null,4,Casual,null,1,Light,3,Small,Relaxed,CAT003,Technology,null,Beautify,9,66.36,13.3677489,1,0,0,2019-10-19,N,Second Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5111,PN-18775,txn5108,CA-2018-132213,5,2019-12-30,null,0,null,Curbside,null,611,OFF-AR-10004078,Newell 312,null,1,Hip-Hop,null,4,Bright,3,Small,Relaxed,CAT002,Office Supplies,null,Respont,7,42.048,9.416264768,0,0,1,2019-10-06,N,Standard Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5112,PN-18775,txn5109,CA-2018-132213,5,2019-12-30,null,0,null,Curbside,null,538,OFF-AR-10001958,Stanley Bostitch Contemporary Electric Pencil Sharpeners,null,1,Formal,null,5,Light,1,Large,Slim,CAT002,Office Supplies,null,Bounce,8,67.92,7.155168742,0,0,1,2019-11-21,N,Standard Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5113,EH-13765,txn5110,CA-2015-138450,6,2019-12-30,341,Store_064,Store064,Online,East,855,OFF-EN-10001335,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",null,3,Formal,null,4,Dark,1,Large,Tapered,CAT002,Office Supplies,null,Bounce,6,52.512,5.859307558,0,1,0,2019-12-01,N,Second Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5114,EH-13765,txn5111,CA-2015-138450,2,2019-12-30,341,Store_064,Store064,Online,East,1390,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",null,1,Party,null,1,Other,2,Small,Tapered,CAT002,Office Supplies,null,Trust Nom,9,186.912,39.75096713,1,0,0,2019-11-03,N,Second Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5115,EH-13765,txn5112,CA-2015-138450,3,2019-12-30,341,Store_064,Store064,Online,East,1194,OFF-PA-10003016,"Adams ""While You Were Out"" Message Pads",null,4,Casual,null,5,Bright,2,Medium,Regular,CAT002,Office Supplies,null,Bounce,9,10.048,1.438975729,1,0,0,2019-11-19,N,Second Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5116,HA-14905,txn5113,CA-2016-153073,3,2019-12-30,244,Store_027,Store027,Delivery,Central,171,FUR-FU-10001025,"Eldon Imàge Series Desk Accessories, Clear",null,2,Formal,null,1,Bright,3,Large,Relaxed,CAT001,Furniture,null,Bounce,9,17.496,3.586803802,1,0,0,2019-10-19,N,Second Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5117,AB-10150,txn5114,CA-2017-147970,9,2019-12-30,28,Store_078,Store078,Delivery,Central,1237,OFF-PA-10003936,Xerox 1994,null,3,Formal,null,2,Bright,2,Large,Relaxed,CAT002,Office Supplies,null,Fostor,7,15.552,1.370027429,0,0,1,2019-12-20,N,Standard Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5118,MS-17365,txn5115,CA-2017-150658,8,2019-12-30,107,Store_065,Store065,Delivery,West,806,OFF-BI-10004140,Avery Non-Stick Binders,null,2,Hip-Hop,null,2,Bright,3,Small,Regular,CAT002,Office Supplies,null,Fostor,9,10.776,2.492516751,1,0,0,2019-11-16,N,Second Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5119,DD-13570,txn5116,CA-2018-125640,6,2019-12-30,341,Store_064,Store064,Delivery,East,999,OFF-LA-10004178,Avery 491,null,4,Hip-Hop,null,2,Other,1,Xtra Small,Regular,CAT002,Office Supplies,null,Bounce,8,3.304,0.668233079,0,0,1,2019-10-05,N,Second Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5120,MT-17815,txn5117,CA-2018-154137,7,2019-12-30,72,Store_030,Store030,Delivery,East,1385,OFF-ST-10003324,Belkin OmniView SE Rackmount Kit,null,4,Casual,null,2,Bright,3,Large,Regular,CAT002,Office Supplies,null,Redash,7,35.48,8.086986508,0,0,1,2019-12-30,N,Second Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5121,GM-14500,txn5118,CA-2016-127173,9,2019-12-30,214,Store_188,Store188,Delivery,East,939,OFF-FA-10004854,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",null,2,Casual,null,3,Other,2,Extra Large,Regular,CAT002,Office Supplies,null,Bounce,10,34.44,1.993655505,1,0,0,2019-10-15,N,Second Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5122,GM-14500,txn5119,CA-2016-127173,9,2019-12-30,214,Store_188,Store188,Delivery,East,1641,TEC-MA-10002859,Ativa MDM8000 8-Sheet Micro-Cut Shredder,null,2,Casual,null,4,Bright,1,Medium,Relaxed,CAT003,Technology,null,Lifestyle,10,629.93,11.45898827,1,0,0,2019-12-30,N,Standard Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5123,GM-14500,txn5120,CA-2016-127173,10,2019-12-30,214,Store_188,Store188,Delivery,East,639,OFF-BI-10000088,GBC Imprintable Covers,null,2,Casual,null,2,Light,1,Extra Large,Relaxed,CAT002,Office Supplies,null,Bounce,9,79.056,0.268039992,1,0,0,2019-12-28,N,Second Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5124,KB-16585,txn5121,CA-2015-149538,1,2019-12-30,167,Store_299,Store299,Online,South,1403,OFF-ST-10004180,Safco Commercial Shelving,null,1,Party,null,3,Other,1,Large,Tapered,CAT002,Office Supplies,null,Bounce,8,232.55,1.159174172,0,0,1,2019-12-30,N,Second Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5125,KB-16585,txn5122,CA-2015-149538,9,2019-12-30,167,Store_299,Store299,Online,South,1538,TEC-AC-10002926,Logitech Wireless Marathon Mouse M705,null,1,Casual,null,4,Dark,1,Large,Regular,CAT003,Technology,null,Beautify,9,99.98,4.870283713,1,0,0,2019-10-04,N,Second Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5126,KB-16585,txn5123,CA-2015-149538,9,2019-12-30,167,Store_299,Store299,Online,South,1229,OFF-PA-10003797,Xerox 209,null,4,Hip-Hop,null,2,Other,2,Medium,Slim,CAT002,Office Supplies,null,Renow,9,19.44,1.028492539,1,0,0,2019-12-09,N,Standard Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
